X[s],"L GASTROCNEMIUS LATERAL HEAD: EMG 11",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.X",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Y",X[s],"L GASTROCNEMIUS LATERAL HEAD: Acc 11.Z",X[s],"L GASTROCNEMIUS MEDIAL HEAD: EMG 12",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.X",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Y",X[s],"L GASTROCNEMIUS MEDIAL HEAD: Acc 12.Z",X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.02751923,1.292439E-05,0.35775,0.8419318,0.35775,0.664683,0.35775,0.1651637,0.02751923,-2.803082E-05,0.35775,0.8781872,0.35775,-0.2255894,0.35775,0.0443122,0.02751923,-1.225299E-05,0.35775,0.09265278,0.35775,0.7774777,0.35775,0.9063858,0.02751923,9.903106E-06,0.35775,-0.2618448,0.35775,-0.7412222,0.35775,0.8217899
0.02803846,1.359579E-05,0.3645,0.8419318,0.3645,0.664683,0.3645,0.169192,0.02803846,-2.702373E-05,0.3645,0.8822156,0.3645,-0.221561,0.3645,0.0443122,0.02803846,-1.409934E-05,0.3645,0.09265278,0.3645,0.7815061,0.3645,0.9104142,0.02803846,9.903106E-06,0.3645,-0.2699016,0.3645,-0.7452506,0.3645,0.8217899
0.02855769,1.309224E-05,0.37125,0.8419318,0.37125,0.6606546,0.37125,0.169192,0.02855769,-2.635233E-05,0.37125,0.8781872,0.37125,-0.2255894,0.37125,0.0443122,0.02855769,-1.393149E-05,0.37125,0.08459602,0.37125,0.7734493,0.37125,0.9023575,0.02855769,1.05745E-05,0.37125,-0.2618448,0.37125,-0.7452506,0.37125,0.8258182
0.02907692,1.258869E-05,0.378,0.8379034,0.378,0.664683,0.378,0.1611353,0.02907692,-2.719158E-05,0.378,0.8741588,0.378,-0.221561,0.378,0.05236896,0.02907692,-1.258869E-05,0.378,0.0886244,0.378,0.7734493,0.378,0.9063858,0.02907692,1.174945E-05,0.378,-0.2658732,0.378,-0.7533074,0.378,0.8258182
0.02959615,1.326009E-05,0.38475,0.8379034,0.38475,0.6566262,0.38475,0.1611353,0.02959615,-2.702373E-05,0.38475,0.8741588,0.38475,-0.2255894,0.38475,0.04834058,0.02959615,-1.12459E-05,0.38475,0.09265278,0.38475,0.7815061,0.38475,0.9063858,0.02959615,1.309224E-05,0.38475,-0.2537881,0.38475,-0.7412222,0.38475,0.833875
0.03011538,1.460288E-05,0.3915,0.8459601,0.3915,0.664683,0.3915,0.1611353,0.03011538,-2.702373E-05,0.3915,0.8781872,0.3915,-0.2175326,0.3915,0.0443122,0.03011538,-1.09102E-05,0.3915,0.0886244,0.3915,0.7774777,0.3915,0.9063858,0.03011538,1.19173E-05,0.3915,-0.2618448,0.3915,-0.7412222,0.3915,0.8258182
0.03063462,1.527428E-05,0.39825,0.8379034,0.39825,0.6606546,0.39825,0.1611353,0.03063462,-2.769513E-05,0.39825,0.8781872,0.39825,-0.2175326,0.39825,0.05639734,0.03063462,-1.040665E-05,0.39825,0.0886244,0.39825,0.7774777,0.39825,0.9063858,0.03063462,8.89601E-06,0.39825,-0.2658732,0.39825,-0.7412222,0.39825,0.8258182
0.03115385,1.527428E-05,0.405,0.8459601,0.405,0.664683,0.405,0.1651637,0.03115385,-2.668803E-05,0.405,0.8741588,0.405,-0.2175326,0.405,0.05236896,0.03115385,-1.02388E-05,0.405,0.09668116,0.405,0.7815061,0.405,0.9184711,0.03115385,5.539025E-06,0.405,-0.2618448,0.405,-0.7371938,0.405,0.8298466
0.03167308,1.493858E-05,0.41175,0.8419318,0.41175,0.6687114,0.41175,0.169192,0.03167308,-2.383459E-05,0.41175,0.8741588,0.41175,-0.2135042,0.41175,0.04834058,0.03167308,-1.09102E-05,0.41175,0.09668116,0.41175,0.7774777,0.41175,0.9063858,0.03167308,6.378271E-06,0.41175,-0.2658732,0.41175,-0.7371938,0.41175,0.8217899
0.03219231,1.326009E-05,0.4185,0.8419318,0.4185,0.6767681,0.4185,0.169192,0.03219231,-2.21561E-05,0.4185,0.8781872,0.4185,-0.2255894,0.4185,0.04834058,0.03219231,-1.208515E-05,0.4185,0.09668116,0.4185,0.7855344,0.4185,0.9063858,0.03219231,7.888914E-06,0.4185,-0.2618448,0.4185,-0.7412222,0.4185,0.8298466
